"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","countri","great","will","nation","law","govern","state","peopl","time","world"
"2","duti","forc","can","peac","public","power","unit","freedom","year","new"
"3","may","made","must","justic","shall","right","union","free","now","american"
"4","upon","without","make","polici","upon","peopl","constitut","men","one","america"
"5","shall","war","good","war","execut","constitut","interest","life","man","let"
"6","everi","necessari","need","foreign","congress","citizen","part","liberti","day","work"
"7","confid","industri","peopl","among","parti","one","form","human","first","live"
"8","success","revenu","like","great","administr","equal","institut","hope","presid","chang"
"9","high","secur","effort","relat","effect","protect","exist","know","histori","togeth"
"10","patriot","product","help","respect","purpos","upon","object","spirit","today","home"
"11","much","well","never","differ","offic","general","import","thing","come","old"
"12","best","use","everi","friend","busi","author","whole","long","hope","better"
"13","experi","increas","strong","everi","condit","system","polit","republ","hand","land"
"14","great","commerc","beyond","never","elect","limit","danger","order","stand","see"
"15","trust","resourc","done","establish","control","act","great","believ","god","generat"
"16","fellowcitizen","countri","task","ever","subject","feder","opinion","seek","call","earth"
"17","support","may","lead","result","secur","may","less","civil","yet","promis"
"18","oblig","encourag","face","intern","legisl","exercis","territori","democraci","bless","find"
"19","look","defens","race","honor","question","principl","common","econom","futur","opportun"
"20","respons","time","other","reason","influenc","instrument","direct","prosper","place","children"
